SITE ID,Type,StationName,Area,County,Location,Address,lat,lon,TWD97_TM2_X,TWD97_TM2_Y
EPA001,一般,基隆,北部,基隆市,基隆女中,基隆市東信路324號,25.1286838,121.7590517,326540.3,2780246
EPA002,一般,汐止,北部,新北市,樟樹國小,新北市汐止區樟樹一路14巷2號,25.064423,121.641831,314753.5,2773067
EPA003,背景兼一般,萬里,北部,新北市,綜合商場,新北市萬里區萬里村瑪鍊路221號,25.1797915,121.6896609,319513.9,2785870
EPA004,一般,新店,北部,新北市,大豐國小,新北市新店區民族路108號,24.9775082,121.5382108,304337.4,2763394
EPA005,一般,土城,北部,新北市,新北高工,新北市土城區學府路一段241號,24.984116,121.4513618,295566.7,2764094
EPA006,一般,板橋,北部,新北市,板橋高中,新北市板橋區文化路一段25號,25.0122662,121.4584769,296274.4,2767215
EPA007,一般,新莊,北部,新北市,輔仁大學,新北市新莊區中正路510號,25.0336491,121.433255,293721.1,2769575
EPA008,一般,菜寮,北部,新北市,三重商工,新北市三重區中正北路163號,25.069017,121.4802136,298446,2773508
EPA009,一般,林口,北部,新北市,林口國中,新北市林口區民治路25號,25.0761945,121.3778279,288114.6,2774270
EPA010,一般,淡水,北部,新北市,淡水氣象站,新北市淡水區中正東路42巷6號,25.1637224,121.4519668,295561.2,2783988
EPA011,一般,士林,北部,臺北市,文林國小,臺北市北投區文林北路155號,25.1059048,121.5147443,301914.2,2777607
EPA012,一般,中山,北部,臺北市,新興國中,臺北市中山區聚葉里林森北路511號,25.0619756,121.5257455,303042.6,2772745
EPA013,一般,萬華,北部,臺北市,福星國小,臺北市萬華區中華路一段66號,25.0467829,121.5089051,301349.9,2771056
EPA014,一般,古亭,北部,臺北市,古亭國小,臺北市大安區羅斯福路三段201號,25.0205827,121.5287775,303366.4,2768162
EPA015,一般,松山,北部,臺北市,松山國小,臺北市松山區八德路四段746號,25.0504957,121.5776874,308288.6,2771495
EPA017,一般,桃園,北部,桃園市,桃園農工,桃園市桃園區成功路二段144號,24.9951509,121.3207012,282373,2765279
EPA018,一般,大園,北部,桃園市,大園國小,桃園市大園區橫峰村中正東路160號,25.0590851,121.2026707,270447.8,2772337
EPA019,背景,觀音,北部,桃園市,觀音國小,桃園市觀音區文化路2號,25.0354618,121.0830839,258384.1,2769708
EPA020,一般,平鎮,北部,桃園市,文化國小,桃園市中壢區平鎮鄉文化街189號,24.953081,121.203387,270537.7,2760596
EPA021,一般,龍潭,北部,桃園市,龍潭鄉公所,桃園市龍潭區中正路210號,24.8643603,121.2169887,271926.9,2750772
EPA022,一般,湖口,北部,新竹縣,信勢國小,新竹縣湖口鄉成功路360號,24.8991846,121.0390166,253941.5,2754612
EPA023,一般,竹東,北部,新竹縣,大同國小,新竹縣竹東鎮榮樂里三民街70號,24.7392909,121.0871516,258815.6,2736904
EPA024,一般,新竹,北部,新竹市,東門國小,新竹市民族路33號,24.8049301,120.9723226,247201.8,2744172
EPA025,工業,頭份,中部,苗栗縣,后庄國小,苗栗縣頭份鎮後庄里文化街20號,24.6963826,120.898353,239714.7,2732153
EPA026,一般,苗栗,中部,苗栗縣,縣議會,苗栗縣苗栗市縣府路102號,24.5649892,120.8199453,231761.8,2717608
EPA027,背景兼一般,三義,中部,苗栗縣,長壽俱樂部,苗栗縣三義鄉西湖村上湖61-1號,24.3822582,120.7596705,225621.2,2697379
EPA028,一般,豐原,中部,臺中市,國立豐原高中,臺中市豐原區水源路150號,24.2558681,120.7414285,223744.7,2683385
EPA029,一般,沙鹿,中部,臺中市,北勢國中,臺中市沙鹿區英才路150號,24.2251755,120.5692086,206246.9,2680029
EPA030,一般,大里,中部,臺中市,大里區公所,臺中市大里區大新街36號,24.0996726,120.6784665,217311.8,2666099
EPA031,一般,忠明,中部,臺中市,臺中特殊教育學校,臺中市南屯區公益路二段296號,24.1513744,120.6410651,213524.1,2671834
EPA032,一般,西屯,中部,臺中市,啟聰學校,臺中市西屯區安和路1號,24.1606793,120.6171796,211099.5,2672871
EPA033,一般,彰化,中部,彰化縣,延平社區活動中心,彰化縣彰化市文心街55號,24.0656237,120.5418197,203407.3,2662367
EPA034,工業,線西,中部,彰化縣,線西國中,彰化縣線西鄉寓埔村中央路二段145號,24.1321046,120.4692213,196052.4,2669756
EPA035,一般,二林,中部,彰化縣,萬合國小,彰化縣二林鎮萬合里江山巷1號,23.9253139,120.408986,189833.9,2646878
EPA036,一般,南投,中部,南投縣,康壽國小,南投縣南投市南陽路269號,23.9134307,120.6867432,218107.4,2645471
EPA037,一般,斗六,中部,雲林縣,斗六高中,雲林縣斗六市民生路224號,23.7133968,120.5454533,203651.5,2623357
EPA038,一般,崙背,中部,雲林縣,崙背國中,雲林縣崙背鄉南陽村大成路91號,23.7579343,120.3491074,183652.8,2628367
EPA039,一般,新港,南部,嘉義縣,新港國小,嘉義縣新港鄉登雲路105號,23.5559483,120.3449037,183121.7,2606000
EPA040,一般,朴子,南部,嘉義縣,朴子市公所,嘉義縣朴子市光復路34號,23.4651055,120.2469645,173070,2595989
EPA041,工業,台西,南部,雲林縣,台西鄉圖書館,雲林縣台西鄉五港路505號,23.7158573,120.2012847,168558.1,2623784
